,agentName,price,address,beds,baths,parking,postcode
0,Jeff Yu,220.0,CP 4010/120 Abeckett Street MELBOURNE VIC 3000,1,1,1,3000
1,Jason Cai,210.0,Carpark 2105/483 Swanston Street MELBOURNE VIC 3000,1,1,1,3000
2,David Wu,220.0,Car Park/399-405 Queensberry St NORTH MELBOURNE VIC 3051,1,1,1,3051
3,Jeff Yu,230.0,CAR PARK 2008/11 Rose Lane MELBOURNE VIC 3000,1,1,1,3000
4,Kitrina Gorgis,282.0,2657/181 Exhibition Street MELBOURNE VIC 3000,1,1,1,3000
5,Rental Office,240.0,Car Space/6 Leicester Street CARLTON VIC 3053,1,1,1,3053
6,Jeff Yu,260.0,LOT 708/45 Clarke Street SOUTHBANK VIC 3006,1,1,1,3006
7,Ray White Myrtleford,325.0,35 King Street MYRTLEFORD VIC 3737,1,1,0,3737
8,Varsha Jones,240.0,G15/58 Douglas Street NOBLE PARK VIC 3174,1,1,0,3174
9,Steven Agnew,230.0,16/11 Bates Road WARRNAMBOOL VIC 3280,1,1,1,3280
10,Varsha Jones,240.0,G03/58 Douglas Street NOBLE PARK VIC 3174,1,1,0,3174
11,Casey Estate Agents,230.0,5 Morris DANDENONG NORTH VIC 3175,1,1,0,3175
12,Phoebe Tayler,220.0,35 Sarton Road CLAYTON VIC 3168,1,2,0,3168
13,Gemma DeRose,250.0,630 Doyles Rd SHEPPARTON VIC 3630,3,1,0,3630
14,Phoebe Tayler,230.0,1/53 Stockdale Avenue CLAYTON VIC 3168,1,1,0,3168
15,Tim Callander,205.0,22 Senior Court HIGHTON VIC 3216,1,1,0,3216
16,James Hickey,250.0,24 Mcmurtry Way FRANKSTON SOUTH VIC 3199,1,1,0,3199
17,Shermta Flomo,250.0,4/677 Park Street BRUNSWICK VIC 3056,1,1,0,3056
18,Nadine Cotsaris,250.0,3 Tirari Street TRUGANINA VIC 3029,1,1,2,3029
19,Helen Greville,240.0,5A/42 Lardner Road FRANKSTON VIC 3199,1,2,0,3199
20,Hannah Raguse,210.0,1/52-54 Oakwood Crescent WAURN PONDS VIC 3216,1,1,0,3216
21,Daniella De Rooy,250.0,2/76 Moore Street COLAC VIC 3250,2,1,1,3250
22,Ange Cruickshank,230.0,7/5 Licola Road HEYFIELD VIC 3858,2,1,0,3858
23,Janelle Ivermee,220.0,2/5 Stanley Street NEWTOWN VIC 3220,1,1,1,3220
24,Angie Vakrinos,240.0,8/520 City Road SOUTH MELBOURNE VIC 3205,1,1,0,3205
25,Michelle Grech,220.0,"3, 4 & 6/9 Bunya Place WERRIBEE VIC 3030",1,1,1,3030
26,Frankie Jayne,230.0,53 McEwan Road HEIDELBERG HEIGHTS VIC 3081,1,1,0,3081
27,Buxton Ballarat Leasing,240.0,4/167 Victoria Street BALLARAT EAST VIC 3350,1,1,1,3350
28,Kenneth Wu,220.0,148 Station Street BURWOOD VIC 3125,1,2,0,3125
29,Dylan Cropley,250.0,57 Ballarat Road FOOTSCRAY VIC 3011,1,1,0,3011
30,James Hickey,240.0,12 Barkly Street CRANBOURNE VIC 3977,1,1,0,3977
31,Max Mai,250.0,53 Beddoe Avenue CLAYTON VIC 3168,1,3,0,3168
32,Sarah Holdsworth,230.0,9 Bunya Place WERRIBEE VIC 3030,1,1,1,3030
33,James Hickey,230.0,56 Burke Road MALVERN EAST VIC 3145,1,2,0,3145
34,Joseph El-Fahkri,215.0,206/267 High Street NORTHCOTE VIC 3070,1,1,0,3070
35,Kenneth Wu,240.0, BURWOOD VIC 3125,1,1,1,3125
